年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1018.2,100.5,8.3,67.0,0.0,116.5,10.0,7.0,2.0
2010/2,1014.8,209.0,11.9,67.0,3.3,119.1,0.0,7.5,0.0
2010/3,1014.7,286.5,13.3,69.0,3.4,132.4,0.0,7.0,1.0
2010/4,1013.3,233.0,16.2,68.0,3.4,147.2,0.0,7.9,0.0
2010/5,1008.0,215.0,21.1,68.0,3.1,193.0,0.0,7.2,0.0
2010/6,1006.7,825.0,23.8,78.0,3.0,91.0,0.0,9.1,0.0
2010/7,1007.1,466.5,27.8,78.0,2.8,145.2,0.0,8.1,0.0
2010/8,1009.0,191.5,29.6,73.0,3.4,216.8,0.0,6.7,0.0
2010/9,1009.2,124.0,27.2,74.0,3.1,196.1,0.0,5.9,0.0
2010/10,1011.3,96.5,21.6,69.0,3.4,120.3,0.0,7.8,0.0
2010/11,1015.8,44.5,15.1,65.0,3.1,168.1,0.0,5.9,0.0
2010/12,1011.9,150.0,10.5,71.0,0.0,120.1,25.0,6.4,1.0
2011/1,1018.6,8.5,5.2,62.0,0.0,111.1,7.0,6.9,7.0
2011/2,1014.9,84.5,10.8,68.0,3.2,0.0,0.0,6.2,1.0
2011/3,1016.2,33.0,10.6,59.0,3.8,204.7,0.0,5.8,0.0
2011/4,1011.8,41.0,16.0,64.0,3.4,231.9,0.0,5.4,0.0
2011/5,1008.0,247.0,20.8,75.0,2.9,119.3,0.0,8.2,0.0
2011/6,1005.9,732.0,24.1,85.0,2.8,65.6,0.0,8.9,0.0
2011/7,1003.9,174.5,28.2,76.0,3.5,219.0,0.0,7.4,0.0
2011/8,1005.8,184.5,28.7,75.0,3.4,191.4,0.0,6.8,0.0
2011/9,1005.1,278.0,26.1,73.0,3.8,158.5,0.0,6.9,0.0
2011/10,1013.2,119.5,21.4,73.0,3.0,150.1,0.0,6.7,0.0
2011/11,1016.6,110.5,18.2,73.0,3.3,128.8,0.0,6.5,0.0
2011/12,1018.9,50.0,10.1,64.0,3.5,151.3,0.0,6.1,1.0
2012/1,1017.3,52.5,8.0,64.0,3.4,137.3,0.0,6.7,2.0
2012/2,1015.5,145.5,9.1,68.0,3.6,93.7,0.0,7.8,7.0
2012/3,1014.0,188.0,12.8,68.0,3.6,162.4,0.0,6.6,0.0
2012/4,1011.0,296.0,16.9,67.0,3.6,190.0,0.0,7.1,0.0
2012/5,1006.9,83.5,21.2,73.0,3.1,179.1,0.0,6.7,0.0
2012/6,1003.1,858.0,23.7,84.0,2.9,52.1,0.0,9.5,0.0
2012/7,1004.8,418.0,28.0,82.0,3.1,159.9,0.0,8.0,0.0
2012/8,1005.3,338.0,28.9,79.0,3.9,166.8,0.0,8.1,0.0
2012/9,1008.4,248.5,25.2,80.0,2.8,153.0,0.0,7.3,0.0
2012/10,1011.6,35.5,21.1,68.0,3.3,218.0,0.0,4.6,0.0
2012/11,1013.8,122.5,14.3,71.0,3.4,140.8,0.0,6.1,0.0
2012/12,1016.6,109.0,9.7,72.0,3.6,97.4,0.0,6.8,2.0
2013/1,1018.7,70.0,7.9,65.0,0.0,156.8,0.0,5.4,1.0
2013/2,1017.4,199.5,10.3,67.0,3.5,145.5,0.0,6.2,0.0
2013/3,1012.7,80.5,14.1,69.0,3.2,182.4,0.0,5.6,0.0
2013/4,1010.0,120.5,16.3,65.0,3.6,215.0,0.0,5.9,0.0
2013/5,1008.6,54.5,21.4,68.0,3.3,218.4,0.0,6.9,0.0
2013/6,1004.3,426.0,24.6,82.0,2.9,87.5,0.0,9.0,0.0
2013/7,1007.1,16.5,29.4,74.0,3.3,237.4,0.0,6.2,0.0
2013/8,1005.2,93.0,30.0,73.0,3.3,228.0,0.0,5.6,0.0
2013/9,1008.3,343.5,26.8,68.0,3.6,221.1,0.0,5.3,0.0
2013/10,1011.3,154.0,22.5,68.0,4.3,184.7,0.0,5.3,0.0
2013/11,1015.8,114.5,14.6,72.0,3.0,161.0,0.0,5.7,0.0
2013/12,1015.9,105.0,9.3,70.0,3.4,145.1,0.0,6.0,1.0
2014/1,1018.7,59.5,9.2,65.0,3.3,183.3,0.0,4.7,1.0
2014/2,1015.5,155.5,10.5,70.0,3.8,134.1,0.0,6.6,0.0
2014/3,1015.2,189.0,13.1,66.0,3.7,189.9,0.0,5.7,0.0
2014/4,1012.3,114.5,16.9,69.0,3.4,168.5,0.0,6.7,0.0
2014/5,1008.7,225.5,20.4,70.0,3.2,208.2,0.0,7.1,0.0
2014/6,1002.4,672.0,23.1,80.0,2.7,104.4,0.0,9.1,0.0
2014/7,1005.3,363.0,27.5,78.0,3.1,164.6,0.0,7.9,0.0
2014/8,1004.4,445.0,27.7,81.0,3.3,122.6,0.0,8.6,0.0
2014/9,1007.7,294.5,25.3,78.0,2.7,140.0,0.0,7.7,0.0
2014/10,1011.4,81.0,22.0,68.0,4.0,184.1,0.0,6.0,0.0
2014/11,1015.3,132.5,16.6,71.0,3.0,141.7,0.0,5.8,0.0
2014/12,1017.9,102.0,9.1,69.0,3.5,130.9,0.0,6.7,1.0
2015/1,1017.5,156.5,9.1,68.0,3.4,153.1,0.0,5.8,2.0
2015/2,1016.5,79.0,9.1,64.0,3.4,124.0,0.0,6.5,1.0
2015/3,1015.8,105.5,12.9,68.0,3.4,171.2,0.0,6.6,1.0
2015/4,1011.4,199.0,18.8,74.0,3.1,0.0,0.0,8.3,0.0
2015/5,1006.8,234.5,21.2,75.0,2.9,167.2,0.0,7.9,0.0
2015/6,1004.0,1300.5,22.7,89.0,2.4,63.2,0.0,9.3,0.0
2015/7,1004.4,529.5,26.7,82.0,3.3,137.5,0.0,8.1,0.0
2015/8,1004.6,385.5,27.9,78.0,2.8,205.1,0.0,6.5,0.0
2015/9,1007.3,227.0,25.1,76.0,2.9,156.0,0.0,7.3,0.0
2015/10,1013.2,48.5,20.8,65.0,3.0,241.0,0.0,3.7,0.0
2015/11,1016.7,183.0,18.3,78.0,2.9,120.1,0.0,7.2,0.0
2015/12,1018.5,215.0,12.6,71.0,3.3,144.3,0.0,6.5,0.0
2016/1,1017.6,159.0,9.0,0.0,3.3,87.6,14.0,8.1,3.0
2016/2,1019.0,115.0,9.6,65.0,3.8,142.8,0.0,6.8,2.0
2016/3,1015.8,222.0,13.3,67.0,3.3,198.8,0.0,5.9,0.0
2016/4,1009.9,302.5,18.4,77.0,3.3,120.5,0.0,7.9,0.0
2016/5,1009.0,342.5,21.8,76.0,3.1,174.6,0.0,7.8,0.0
2016/6,1005.3,774.0,24.7,84.0,2.6,98.0,0.0,8.8,0.0
2016/7,1006.4,493.5,28.6,79.0,3.0,218.6,0.0,7.3,0.0
2016/8,1001.2,77.5,29.8,72.0,2.9,258.1,0.0,5.6,0.0
2016/9,1007.0,340.5,27.3,79.0,3.0,167.0,0.0,8.0,0.0
2016/10,1012.0,248.5,23.8,77.0,3.0,126.5,0.0,7.7,0.0
2016/11,1015.8,124.0,16.7,74.0,3.1,173.2,0.0,5.3,0.0
2016/12,1018.3,86.5,12.6,71.0,3.4,180.0,0.0,5.6,0.0
2017/1,1018.1,34.0,9.0,67.0,3.5,157.1,0.0,5.8,2.0
2017/2,1017.3,83.5,9.2,64.0,3.6,175.7,0.0,5.0,2.0
2017/3,1013.8,139.5,11.6,69.0,3.5,160.3,0.0,7.1,0.0
2017/4,1010.2,396.0,17.5,73.0,3.4,170.0,0.0,6.2,0.0
2017/5,1009.5,158.0,21.1,71.0,2.9,215.6,0.0,7.0,0.0
2017/6,1005.3,476.5,23.3,79.0,2.7,138.8,0.0,8.4,0.0
2017/7,1006.6,229.0,29.2,81.0,2.6,199.3,0.0,7.5,0.0
2017/8,1003.0,139.0,29.7,77.0,3.5,230.3,0.0,5.6,0.0
2017/9,1007.0,337.5,25.7,77.0,3.2,148.7,0.0,7.2,0.0
2017/10,1011.5,141.5,22.4,74.0,3.7,142.9,0.0,6.6,0.0
2017/11,1016.7,110.5,15.3,75.0,3.0,143.5,0.0,5.9,0.0
2017/12,1019.1,29.0,8.7,64.0,3.5,145.0,0.0,6.0,0.0
2018/1,1016.9,96.0,7.6,67.0,3.6,144.1,0.0,5.8,3.0
2018/2,1017.1,97.5,8.2,68.0,3.5,139.7,1.0,6.6,6.0
2018/3,1014.2,158.5,14.5,70.0,3.4,180.5,0.0,5.7,0.0
2018/4,1012.5,121.5,18.5,69.0,3.4,227.7,0.0,5.6,0.0
2018/5,1008.4,342.5,21.7,76.0,3.1,160.8,0.0,7.6,0.0
2018/6,1004.5,339.5,24.7,80.0,3.0,123.3,0.0,8.8,0.0
2018/7,1004.4,436.5,28.6,78.0,3.6,200.6,0.0,7.2,0.0
2018/8,1003.8,46.0,29.6,74.0,3.6,235.2,0.0,6.4,0.0
2018/9,1007.1,368.5,26.4,78.0,3.3,152.7,0.0,7.9,0.0
2018/10,1012.8,53.5,20.1,70.0,3.3,194.5,0.0,5.3,0.0
2018/11,1016.8,92.0,16.0,72.0,3.0,188.4,0.0,4.7,0.0
2018/12,1018.8,245.0,12.2,69.0,3.4,103.7,0.0,7.5,0.0
2019/1,1018.7,34.5,9.6,66.0,3.3,155.7,0.0,5.7,0.0
2019/2,1016.6,158.0,11.3,72.0,3.2,105.6,0.0,7.7,0.0
2019/3,1012.5,169.0,13.6,66.0,3.7,185.6,0.0,6.9,0.0
2019/4,1010.5,130.0,17.5,69.0,3.2,198.0,0.0,6.8,0.0
2019/5,1008.6,132.5,21.3,68.0,3.4,195.9,0.0,7.3,0.0
2019/6,1003.3,253.5,24.0,79.0,2.9,125.3,0.0,8.5,0.0
2019/7,1004.0,1005.5,27.2,84.0,2.7,138.7,0.0,8.3,0.0
2019/8,1003.4,186.0,28.8,77.0,3.6,161.4,0.0,8.0,0.0
2019/9,1008.3,86.5,27.8,75.0,3.5,203.2,0.0,6.5,0.0
2019/10,1011.2,100.5,23.0,72.0,3.3,177.3,0.0,6.3,0.0
2019/11,0.0,73.5,17.0,0.0,0.0,0.0,0.0,5.0,0.0
2019/12,1018.5,140.5,12.1,72.0,3.3,128.9,0.0,6.3,0.0
2020/1,1015.9,86.5,11.1,73.0,3.3,125.4,0.0,6.3,0.0
2020/2,1019.0,160.5,11.4,71.0,3.1,159.6,0.0,5.8,1.0
2020/3,1012.7,138.0,14.0,71.0,3.3,163.6,0.0,6.8,0.0
2020/4,1012.8,110.5,15.7,63.0,3.6,233.3,0.0,5.9,0.0
2020/5,1007.4,268.5,21.7,74.0,3.1,177.5,0.0,7.3,0.0
2020/6,1004.4,795.5,25.0,83.0,2.9,116.5,0.0,8.4,0.0
2020/7,1005.6,713.0,26.8,84.0,3.1,123.8,0.0,8.5,0.0
2020/8,1007.5,167.0,29.8,77.0,3.0,265.4,0.0,5.4,0.0
2020/9,1005.9,337.5,25.6,77.0,3.5,115.6,0.0,8.1,0.0
2020/10,1012.2,75.5,21.4,67.0,3.3,219.4,0.0,4.7,0.0
2020/11,1018.2,96.0,17.2,70.0,3.2,170.9,0.0,4.5,0.0
2020/12,1018.6,29.0,10.3,64.0,3.4,170.4,0.0,4.6,2.0
2021/1,1017.9,45.5,9.2,68.0,3.3,157.0,3.0,5.8,5.0
2021/2,1015.7,86.5,12.1,67.0,4.1,161.6,2.0,5.9,2.0
2021/3,1014.1,151.5,15.6,72.0,3.2,172.6,0.0,6.1,0.0
2021/4,1013.4,102.5,18.0,65.0,3.5,184.6,0.0,6.1,0.0
2021/5,1007.4,470.0,21.0,80.0,3.0,127.0,0.0,7.8,0.0
2021/6,1004.4,500.5,24.5,79.0,2.7,130.3,0.0,8.3,0.0
2021/7,1005.6,222.5,28.1,77.0,3.4,166.7,0.0,7.9,0.0
2021/8,1006.0,804.0,27.9,82.0,3.0,164.4,0.0,6.9,0.0
2021/9,1008.4,200.0,27.0,77.0,2.9,192.5,0.0,6.5,0.0
2021/10,1014.2,21.0,22.7,67.0,3.2,236.2,0.0,4.4,0.0
2021/11,1015.1,130.0,15.5,70.0,3.0,169.2,0.0,5.4,0.0
2021/12,1018.7,48.0,10.5,68.0,3.3,176.5,0.0,4.9,2.0
2022/1,1017.0,45.0,9.0,64.0,3.3,137.3,0.0,6.0,0.0
2022/2,1018.5,23.0,8.3,62.0,3.6,130.0,0.0,6.6,1.0
2022/3,1013.1,186.0,14.4,71.0,3.3,153.7,0.0,6.4,0.0
2022/4,1012.1,335.0,18.4,71.0,2.8,193.3,0.0,7.2,0.0
2022/5,1008.7,165.0,20.9,74.0,2.9,139.1,0.0,8.6,0.0
2022/6,1005.9,486.5,24.6,82.0,2.9,142.4,0.0,8.4,0.0
2022/7,1003.7,414.5,28.8,79.0,3.4,179.4,0.0,7.8,0.0
2022/8,1005.7,198.0,29.8,77.0,2.8,225.7,0.0,6.7,0.0
2022/9,1004.9,284.5,27.4,75.0,4.1,182.5,0.0,6.7,0.0
2022/10,1014.5,31.0,22.0,66.0,3.3,226.3,0.0,4.6,0.0
2022/11,1014.7,170.0,18.4,73.0,3.0,144.1,0.0,6.1,0.0
2022/12,1017.3,77.5,9.4,70.0,3.5,149.4,0.0,5.6,4.0
2023/1,1018.0,88.0,9.0,70.0,3.4,150.3,4.0,5.4,5.0
2023/2,1018.1,155.0,11.5,68.0,3.3,140.0,0.0,6.3,0.0
2023/3,1015.5,178.5,15.1,71.0,3.0,182.1,0.0,6.5,0.0
2023/4,1011.1,212.5,18.2,70.0,3.4,174.0,0.0,6.5,0.0
2023/5,1009.6,208.0,21.6,73.0,3.1,218.9,0.0,6.9,0.0
2023/6,1005.2,534.0,24.3,82.0,2.7,99.8,0.0,8.8,0.0
2023/7,1007.4,440.0,28.9,80.0,3.1,163.5,0.0,7.8,0.0
2023/8,1001.2,381.5,0.0,78.0,3.7,0.0,0.0,7.0,0.0
2023/9,1007.7,42.5,28.3,75.0,2.8,224.0,0.0,5.9,0.0
2023/10,1012.9,104.5,20.7,68.0,3.1,224.5,0.0,4.8,0.0
2023/11,1016.7,69.5,16.2,69.0,3.2,201.8,0.0,4.9,0.0
2023/12,1019.2,96.0,11.4,74.0,3.1,139.4,0.0,6.0,2.0
